link,date,venue,city,state,country,show_number
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-7-2025-the-morris-performing-arts-center-south-bend-in-usa.html,03/07/2025,The Morris Performing Arts Center,South Bend,IN,USA,105
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-8-2025-riverside-theater-milwaukee-wi-usa.html,03/08/2025,Riverside Theater,Milwaukee,WI,USA,106
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-9-2025-hard-rock-hotel-amp-royalton-resort-punta-cana-dominican-republic.html,03/09/2025,Hard Rock Hotel & Royalton Resort,Punta Cana,,Dominican Republic,107
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-12-2025-the-elm-bozeman-mt-usa.html,03/12/2025,The Elm,Bozeman,MT,USA,108
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-13-2025-the-newberry-great-falls-mt-usa.html,03/13/2025,The Newberry,Great Falls,MT,USA,109
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-14-2025-spokane-live-airway-heights-wa-usa.html,03/14/2025,Spokane Live,Airway Heights,WA,USA,110
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-15-2025-treefort-music-hall-boise-id-usa.html,03/15/2025,Treefort Music Hall,Boise,ID,USA,111
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-19-2025-mcnear039s-mystic-theatre-petaluma-ca-usa.html,03/19/2025,McNear's Mystic Theatre,Petaluma,CA,USA,112
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-20-2025-ace-of-spades-sacramento-ca-usa.html,03/20/2025,Ace of Spades,Sacramento,CA,USA,113
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-21-2025-the-observatory-north-park-san-diego-ca-usa.html,03/21/2025,The Observatory North Park,San Diego,CA,USA,114
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-22-2025-the-observatory-santa-ana-ca-usa.html,03/22/2025,The Observatory,Santa Ana,CA,USA,115
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-4-2025-ryman-auditorium-nashville-tn-usa.html,04/04/2025,Ryman Auditorium,Nashville,TN,USA,116
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-5-2025-ryman-auditorium-nashville-tn-usa.html,04/05/2025,Ryman Auditorium,Nashville,TN,USA,117
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-18-2025-villa-marco-marrakesh-morocco.html,04/18/2025,Villa Marco,Marrakesh,,Morocco,118
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-19-2025-villa-marco-marrakesh-morocco-2.html,04/19/2025,Villa Marco,Marrakesh,,Morocco,119
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-19-2025-villa-marco-marrakesh-morocco.html,04/19/2025,Villa Marco,Marrakesh,,Morocco,120
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-20-2025-villa-marco-marrakesh-morocco.html,04/20/2025,Villa Marco,Marrakesh,,Morocco,121
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-25-2025-georges-majestic-lounge-fayetteville-ar-usa.html,04/25/2025,George's Majestic Lounge,Fayetteville,AR,USA,122
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-26-2025-southside-music-hall-dallas-tx-usa.html,04/26/2025,Southside Music Hall,Dallas,TX,USA,123
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-27-2025-stubb039s-bbq-austin-tx-usa.html,04/27/2025,Stubb's BBQ,Austin,TX,USA,124
https://allthings.umphreys.com/setlists/umphreys-mcgee-april-29-2025-mahalia-jackson-theater-new-orleans-la-usa.html,04/29/2025,Mahalia Jackson Theater,New Orleans,LA,USA,125
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-22-2025-the-windjammer-isle-of-palms-sc-usa.html,05/22/2025,The Windjammer,Isle of Palms,SC,USA,126
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-23-2025-the-windjammer-isle-of-palms-sc-usa.html,05/23/2025,The Windjammer,Isle of Palms,SC,USA,127
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-24-2025-greenfield-lake-amphitheater-wilmington-nc-usa.html,05/24/2025,Greenfield Lake Amphitheater,Wilmington,NC,USA,128
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-25-2025-cohabspace-high-point-nc-usa.html,05/25/2025,COHAB.SPACE,High Point,NC,USA,129
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-29-2025-vinyl-music-hall-pensacola-fl-usa.html,05/29/2025,Vinyl Music Hall,Pensacola,FL,USA,130
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-30-2025-the-beacham-orlando-fl-usa.html,05/30/2025,The Beacham,Orlando,FL,USA,131
https://allthings.umphreys.com/setlists/umphreys-mcgee-may-31-2025-miami-beach-bandshell-miami-beach-fl-usa.html,05/31/2025,Miami Beach Bandshell,Miami Beach,FL,USA,132
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-1-2025-jannus-live-st-petersburg-fl-usa.html,06/01/2025,Jannus Live,St. Petersburg,FL,USA,133
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-13-2025-sharkey039s-event-center-liverpool-ny-usa.html,06/13/2025,Sharkey's Event Center,Liverpool,NY,USA,134
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-14-2025-higher-ground-south-burlington-vt-usa.html,06/14/2025,Higher Ground,South Burlington,VT,USA,135
https://allthings.umphreys.com/setlists/umphreys-mcgee-june-15-2025-northlands-swanzey-nh-usa.html,06/15/2025,Northlands,Swanzey,NH,USA,136
