showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1252186198,92696,121,e,27,6,0,0,0,,,48,1,,First known performance.,0
1252186614,92649,396,1,1,1,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92650,100,1,2,1,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92651,234,1,3,2,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92652,512,1,4,1,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92653,372,1,5,3,0,0,0,,,24,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92654,518,1,6,1,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92655,246,1,7,2,0,0,0,,,2,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",Richard Wright on vocals.,0
1252186614,92656,42,1,8,2,0,0,0,,,8,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92657,503,1,9,1,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92658,208,1,10,4,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92659,311,2,11,2,0,0,1,"A really good Trey-led jam opens Set II. Rocking and blues-infused, this offers a glimpse at early improvisation. > to ""Bag.""",,17,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92660,8,2,12,1,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92661,552,2,13,1,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92662,431,2,14,2,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92663,148,2,15,1,0,0,1,"Earliest known live version. Jam is played at a slowed tempo initially, but picks up speed and intensity as it develops.",,48,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",First known version.,0
